Work_Experience,Profession,Cluster
4.0,0,0
1.0,6,2
1.0,4,2
1.0,2,0
1.0,3,0
0.0,0,0
1.0,2,0
1.0,5,2
1.0,4,2
9.0,0,1
0.0,2,0
0.0,1,0
2.0,5,2
0.0,2,0
7.0,2,1
6.0,0,1
1.0,0,0
5.0,4,1
0.0,3,0
0.0,1,0
1.0,1,0
0.0,0,0
1.0,7,2
3.0,0,0
1.0,7,2
1.0,2,0
0.0,5,2
1.0,0,0
1.0,2,0
1.0,1,0
1.0,7,2
0.0,3,0
9.0,4,1
8.0,0,1
0.0,7,2
0.0,4,2
3.0,0,0
8.0,6,1
6.0,0,1
0.0,7,2
8.0,5,1
1.0,3,0
1.0,8,2
3.0,2,0
0.0,0,0
0.0,5,2
0.0,5,2
0.0,5,2
0.0,1,0
0.0,4,2
1.0,1,0
0.0,1,0
1.0,0,0
1.0,3,0
1.0,7,2
4.0,0,0
5.0,6,2
0.0,4,2
0.0,1,0
0.0,0,0
1.0,7,2
1.0,7,2
10.0,5,1
1.0,6,2
6.0,0,1
0.0,0,0
1.0,8,2
2.0,5,2
0.0,7,2
0.0,7,2
1.0,3,0
6.0,3,1
8.0,0,1
14.0,0,1
1.0,5,2
0.0,5,2
0.0,3,0
0.0,4,2
3.0,0,0
1.0,4,2
1.0,5,2
2.0,4,2
2.0,1,0
4.0,0,0
3.0,3,0
1.0,5,2
12.0,0,1
1.0,2,0
3.0,2,0
9.0,8,1
5.0,3,1
1.0,1,0
3.0,0,0
5.0,8,2
3.0,1,0
1.0,7,2
0.0,5,2
1.0,0,0
8.0,7,1
0.0,4,2
0.0,3,0
8.0,3,1
8.0,5,1
5.0,6,2
13.0,0,1
0.0,7,2
0.0,0,0
1.0,0,0
0.0,0,0
0.0,7,2
0.0,0,0
9.0,4,1
0.0,7,2
0.0,2,0
0.0,0,0
4.0,5,2
12.0,4,1
1.0,1,0
1.0,1,0
0.0,0,0
1.0,1,0
1.0,5,2
0.0,2,0
0.0,0,0
7.0,0,1
8.0,1,1
8.0,1,1
0.0,0,0
8.0,5,1
1.0,1,0
13.0,0,1
14.0,6,1
5.0,0,0
0.0,5,2
5.0,4,1
3.0,0,0
1.0,5,2
0.0,3,0
9.0,5,1
14.0,3,1
8.0,3,1
1.0,5,2
1.0,3,0
0.0,0,0
1.0,0,0
0.0,5,2
1.0,4,2
8.0,3,1
1.0,3,0
1.0,2,0
0.0,0,0
0.0,5,2
1.0,2,0
0.0,4,2
0.0,5,2
3.0,0,0
8.0,5,1
0.0,2,0
8.0,3,1
5.0,6,2
0.0,8,2
13.0,3,1
1.0,0,0
7.0,0,1
0.0,5,2
1.0,3,0
1.0,5,2
2.0,0,0
7.0,4,1
2.0,5,2
1.0,0,0
9.0,1,1
8.0,1,1
9.0,7,1
1.0,0,0
1.0,0,0
0.0,0,0
9.0,0,1
0.0,7,2
1.0,3,0
0.0,5,2
2.0,5,2
1.0,0,0
0.0,5,2
0.0,5,2
5.0,1,1
1.0,5,2
1.0,0,0
7.0,0,1
0.0,0,0
0.0,1,0
1.0,0,0
2.0,7,2
0.0,3,0
4.0,2,0
1.0,3,0
1.0,2,0
0.0,7,2
11.0,5,1
2.0,0,0
0.0,2,0
7.0,0,1
1.0,0,0
1.0,0,0
1.0,0,0
9.0,4,1
5.0,4,1
0.0,5,2
9.0,3,1
5.0,5,1
1.0,0,0
0.0,1,0
1.0,3,0
0.0,1,0
9.0,5,1
6.0,5,1
1.0,3,0
4.0,0,0
0.0,0,0
1.0,8,2
8.0,6,1
0.0,7,2
1.0,0,0
1.0,0,0
1.0,3,0
1.0,0,0
7.0,0,1
8.0,6,1
0.0,5,2
7.0,5,1
1.0,3,0
8.0,2,1
1.0,4,2
1.0,1,0
0.0,0,0
0.0,5,2
6.0,5,1
1.0,0,0
13.0,5,1
0.0,3,0
1.0,5,2
0.0,5,2
0.0,3,0
4.0,4,2
1.0,0,0
9.0,1,1
0.0,0,0
0.0,5,2
3.0,4,2
0.0,3,0
1.0,2,0
8.0,5,1
0.0,7,2
0.0,5,2
1.0,8,2
0.0,7,2
9.0,0,1
6.0,0,1
1.0,7,2
0.0,0,0
3.0,0,0
0.0,0,0
2.0,0,0
1.0,5,2
13.0,1,1
1.0,0,0
7.0,0,1
0.0,8,2
0.0,5,2
0.0,1,0
4.0,0,0
3.0,0,0
1.0,4,2
13.0,0,1
0.0,4,2
0.0,7,2
1.0,4,2
1.0,5,2
9.0,2,1
10.0,2,1
0.0,5,2
8.0,5,1
0.0,7,2
0.0,0,0
2.0,0,0
1.0,5,2
9.0,7,1
9.0,0,1
0.0,7,2
9.0,4,1
1.0,0,0
9.0,0,1
0.0,7,2
0.0,2,0
3.0,6,2
0.0,1,0
0.0,5,2
0.0,7,2
1.0,3,0
1.0,3,0
0.0,2,0
1.0,5,2
1.0,0,0
1.0,2,0
1.0,0,0
0.0,0,0
2.0,3,0
8.0,0,1
0.0,0,0
8.0,3,1
1.0,2,0
1.0,2,0
2.0,8,2
1.0,5,2
0.0,1,0
0.0,5,2
8.0,1,1
1.0,6,2
1.0,3,0
9.0,0,1
0.0,0,0
0.0,7,2
1.0,4,2
0.0,3,0
3.0,5,2
2.0,7,2
9.0,3,1
0.0,5,2
2.0,0,0
0.0,4,2
1.0,0,0
0.0,1,0
0.0,7,2
0.0,0,0
5.0,2,1
1.0,0,0
1.0,4,2
1.0,2,0
0.0,0,0
1.0,5,2
0.0,7,2
11.0,0,1
1.0,3,0
0.0,0,0
9.0,3,1
1.0,5,2
3.0,0,0
6.0,5,1
1.0,7,2
0.0,0,0
1.0,0,0
1.0,0,0
1.0,7,2
1.0,0,0
7.0,0,1
0.0,3,0
0.0,7,2
9.0,3,1
0.0,7,2
0.0,1,0
1.0,0,0
6.0,5,1
4.0,4,2
1.0,7,2
1.0,0,0
3.0,3,0
8.0,4,1
0.0,3,0
1.0,1,0
0.0,0,0
8.0,0,1
2.0,5,2
9.0,1,1
1.0,4,2
1.0,0,0
1.0,8,2
1.0,0,0
9.0,0,1
1.0,7,2
9.0,0,1
1.0,2,0
9.0,2,1
0.0,5,2
1.0,0,0
2.0,0,0
8.0,7,1
1.0,5,2
0.0,3,0
1.0,3,0
1.0,5,2
8.0,0,1
0.0,0,0
1.0,0,0
2.0,5,2
0.0,7,2
0.0,3,0
5.0,0,0
1.0,2,0
0.0,5,2
1.0,5,2
0.0,0,0
9.0,3,1
6.0,5,1
9.0,1,1
1.0,3,0
9.0,5,1
9.0,6,1
0.0,0,0
1.0,0,0
1.0,3,0
1.0,7,2
0.0,0,0
0.0,0,0
8.0,6,1
0.0,5,2
9.0,0,1
0.0,1,0
8.0,0,1
1.0,0,0
1.0,0,0
1.0,0,0
1.0,5,2
1.0,2,0
1.0,5,2
4.0,0,0
1.0,1,0
6.0,0,1
0.0,4,2
9.0,3,1
0.0,5,2
3.0,4,2
0.0,0,0
3.0,3,0
0.0,0,0
6.0,0,1
0.0,3,0
0.0,5,2
1.0,0,0
0.0,0,0
0.0,0,0
1.0,2,0
0.0,0,0
1.0,3,0
2.0,7,2
1.0,2,0
8.0,1,1
9.0,5,1
8.0,3,1
0.0,5,2
0.0,4,2
8.0,0,1
1.0,3,0
7.0,3,1
0.0,0,0
1.0,1,0
3.0,0,0
8.0,0,1
0.0,0,0
1.0,0,0
0.0,0,0
0.0,1,0
3.0,5,2
4.0,6,2
7.0,4,1
1.0,3,0
1.0,0,0
1.0,7,2
8.0,0,1
1.0,3,0
3.0,0,0
1.0,0,0
0.0,5,2
4.0,3,0
0.0,1,0
1.0,7,2
0.0,5,2
1.0,5,2
2.0,0,0
0.0,4,2
0.0,0,0
1.0,0,0
0.0,5,2
1.0,3,0
0.0,5,2
0.0,0,0
8.0,7,1
1.0,0,0
1.0,0,0
12.0,0,1
0.0,7,2
1.0,0,0
1.0,0,0
1.0,0,0
0.0,0,0
0.0,0,0
1.0,2,0
4.0,0,0
1.0,0,0
0.0,0,0
1.0,0,0
1.0,0,0
1.0,0,0
1.0,3,0
1.0,4,2
7.0,4,1
4.0,2,0
9.0,3,1
1.0,7,2
12.0,5,1
6.0,5,1
1.0,0,0
0.0,2,0
14.0,1,1
1.0,2,0
1.0,0,0
0.0,7,2
8.0,2,1
0.0,3,0
1.0,0,0
1.0,8,2
1.0,3,0
4.0,8,2
0.0,1,0
1.0,3,0
8.0,6,1
0.0,5,2
7.0,0,1
0.0,1,0
1.0,1,0
8.0,0,1
0.0,7,2
1.0,4,2
0.0,4,2
0.0,4,2
2.0,0,0
1.0,5,2
3.0,0,0
1.0,5,2
8.0,0,1
0.0,8,2
0.0,8,2
8.0,4,1
1.0,2,0
1.0,4,2
3.0,1,0
6.0,0,1
0.0,0,0
0.0,4,2
1.0,2,0
0.0,7,2
4.0,8,2
0.0,5,2
1.0,1,0
2.0,5,2
4.0,0,0
2.0,5,2
6.0,1,1
1.0,5,2
1.0,0,0
1.0,5,2
1.0,8,2
0.0,3,0
14.0,0,1
0.0,2,0
5.0,0,0
2.0,7,2
0.0,3,0
1.0,0,0
0.0,1,0
0.0,0,0
1.0,3,0
12.0,0,1
3.0,0,0
8.0,3,1
1.0,0,0
0.0,7,2
0.0,5,2
2.0,2,0
0.0,1,0
7.0,0,1
1.0,0,0
0.0,3,0
5.0,3,1
1.0,8,2
0.0,0,0
1.0,1,0
14.0,5,1
8.0,3,1
0.0,5,2
0.0,5,2
2.0,7,2
7.0,5,1
0.0,2,0
1.0,0,0
9.0,5,1
2.0,0,0
0.0,0,0
12.0,2,1
3.0,5,2
14.0,7,1
0.0,7,2
0.0,0,0
1.0,4,2
3.0,4,2
6.0,2,1
1.0,4,2
0.0,5,2
1.0,0,0
4.0,1,0
1.0,0,0
1.0,5,2
0.0,0,0
0.0,5,2
8.0,1,1
1.0,8,2
5.0,8,2
2.0,0,0
0.0,4,2
0.0,0,0
11.0,0,1
9.0,1,1
4.0,1,0
1.0,0,0
0.0,0,0
0.0,0,0
6.0,3,1
8.0,3,1
0.0,0,0
1.0,8,2
1.0,3,0
3.0,4,2
0.0,7,2
9.0,3,1
1.0,2,0
0.0,0,0
1.0,5,2
10.0,8,1
4.0,8,2
0.0,5,2
0.0,2,0
1.0,2,0
5.0,2,1
1.0,8,2
1.0,0,0
1.0,3,0
1.0,7,2
7.0,5,1
6.0,2,1
9.0,5,1
1.0,4,2
9.0,0,1
0.0,1,0
1.0,5,2
1.0,0,0
0.0,5,2
0.0,7,2
2.0,0,0
0.0,5,2
5.0,4,1
7.0,7,1
2.0,5,2
0.0,0,0
0.0,1,0
1.0,0,0
0.0,0,0
0.0,3,0
1.0,5,2
0.0,5,2
0.0,5,2
1.0,7,2
0.0,0,0
9.0,6,1
1.0,0,0
3.0,5,2
0.0,7,2
8.0,6,1
1.0,0,0
1.0,7,2
1.0,3,0
1.0,2,0
0.0,0,0
9.0,4,1
1.0,0,0
1.0,4,2
0.0,0,0
1.0,3,0
0.0,7,2
0.0,0,0
1.0,5,2
6.0,0,1
1.0,4,2
1.0,0,0
1.0,4,2
1.0,5,2
1.0,3,0
9.0,1,1
7.0,1,1
6.0,5,1
8.0,8,1
8.0,0,1
0.0,0,0
9.0,5,1
9.0,2,1
1.0,0,0
0.0,2,0
1.0,2,0
6.0,3,1
10.0,6,1
9.0,3,1
1.0,0,0
1.0,8,2
1.0,3,0
1.0,2,0
2.0,0,0
9.0,1,1
9.0,6,1
1.0,0,0
4.0,5,2
1.0,5,2
1.0,0,0
8.0,6,1
0.0,4,2
1.0,2,0
1.0,7,2
0.0,5,2
3.0,5,2
0.0,0,0
2.0,5,2
0.0,3,0
0.0,3,0
4.0,0,0
0.0,0,0
1.0,2,0
7.0,0,1
0.0,2,0
0.0,0,0
1.0,2,0
1.0,0,0
0.0,7,2
8.0,6,1
0.0,0,0
0.0,3,0
1.0,2,0
0.0,5,2
6.0,3,1
6.0,3,1
9.0,5,1
1.0,4,2
11.0,5,1
0.0,0,0
1.0,2,0
7.0,3,1
1.0,5,2
9.0,0,1
8.0,2,1
1.0,0,0
3.0,3,0
7.0,2,1
1.0,4,2
0.0,0,0
8.0,0,1
0.0,7,2
8.0,6,1
11.0,4,1
1.0,0,0
8.0,1,1
0.0,2,0
0.0,0,0
2.0,4,2
2.0,6,2
0.0,3,0
14.0,3,1
1.0,3,0
0.0,0,0
0.0,2,0
9.0,8,1
0.0,3,0
0.0,3,0
14.0,3,1
0.0,1,0
2.0,0,0
9.0,0,1
1.0,8,2
1.0,3,0
1.0,3,0
0.0,7,2
7.0,2,1
1.0,0,0
9.0,1,1
1.0,0,0
1.0,7,2
6.0,1,1
5.0,2,1
0.0,0,0
1.0,0,0
5.0,2,1
2.0,0,0
1.0,2,0
0.0,3,0
9.0,4,1
9.0,4,1
4.0,0,0
9.0,6,1
0.0,0,0
2.0,0,0
0.0,1,0
0.0,0,0
0.0,2,0
9.0,4,1
1.0,0,0
0.0,7,2
0.0,3,0
0.0,1,0
0.0,8,2
7.0,0,1
3.0,2,0
1.0,3,0
1.0,0,0
8.0,5,1
7.0,5,1
0.0,5,2
3.0,7,2
0.0,4,2
1.0,1,0
9.0,5,1
1.0,0,0
0.0,0,0
2.0,0,0
7.0,1,1
1.0,3,0
1.0,3,0
0.0,5,2
1.0,3,0
8.0,0,1
0.0,3,0
0.0,1,0
0.0,0,0
0.0,3,0
0.0,5,2
1.0,4,2
13.0,0,1
1.0,5,2
1.0,0,0
8.0,3,1
0.0,0,0
1.0,6,2
8.0,3,1
9.0,0,1
1.0,3,0
5.0,2,1
9.0,1,1
8.0,0,1
0.0,2,0
7.0,1,1
2.0,7,2
2.0,0,0
0.0,0,0
1.0,5,2
5.0,0,0
1.0,7,2
2.0,3,0
8.0,0,1
0.0,1,0
2.0,3,0
1.0,5,2
0.0,0,0
0.0,7,2
1.0,5,2
1.0,0,0
10.0,6,1
0.0,7,2
1.0,5,2
1.0,0,0
1.0,0,0
1.0,3,0
8.0,5,1
8.0,0,1
1.0,0,0
13.0,0,1
14.0,5,1
0.0,7,2
1.0,0,0
0.0,0,0
1.0,0,0
9.0,6,1
2.0,1,0
0.0,0,0
0.0,7,2
0.0,2,0
3.0,3,0
0.0,4,2
1.0,0,0
0.0,0,0
11.0,0,1
9.0,4,1
1.0,0,0
8.0,7,1
0.0,7,2
0.0,0,0
0.0,1,0
8.0,5,1
1.0,0,0
0.0,0,0
0.0,7,2
0.0,4,2
1.0,5,2
0.0,5,2
5.0,5,1
1.0,0,0
2.0,4,2
0.0,4,2
9.0,2,1
0.0,7,2
0.0,0,0
0.0,5,2
1.0,0,0
1.0,0,0
0.0,0,0
4.0,1,0
0.0,7,2
1.0,0,0
2.0,0,0
1.0,1,0
4.0,0,0
11.0,4,1
0.0,7,2
1.0,1,0
9.0,4,1
8.0,1,1
8.0,0,1
0.0,0,0
14.0,1,1
1.0,0,0
0.0,3,0
9.0,1,1
4.0,0,0
11.0,1,1
1.0,1,0
3.0,1,0
1.0,0,0
0.0,0,0
7.0,8,1
0.0,2,0
8.0,0,1
1.0,3,0
12.0,5,1
1.0,7,2
1.0,0,0
3.0,0,0
0.0,5,2
7.0,0,1
14.0,3,1
1.0,0,0
3.0,5,2
12.0,3,1
4.0,3,0
1.0,7,2
4.0,2,0
7.0,3,1
1.0,3,0
4.0,0,0
1.0,0,0
0.0,4,2
9.0,4,1
5.0,7,2
1.0,5,2
0.0,1,0
11.0,0,1
1.0,3,0
9.0,5,1
1.0,7,2
0.0,4,2
0.0,5,2
5.0,0,0
1.0,5,2
1.0,1,0
1.0,0,0
13.0,6,1
0.0,3,0
1.0,8,2
1.0,7,2
1.0,0,0
9.0,5,1
0.0,4,2
0.0,8,2
7.0,0,1
0.0,1,0
3.0,0,0
0.0,0,0
0.0,0,0
9.0,0,1
9.0,0,1
1.0,0,0
1.0,0,0
6.0,0,1
2.0,3,0
1.0,1,0
0.0,4,2
0.0,5,2
0.0,7,2
7.0,4,1
1.0,0,0
1.0,8,2
8.0,6,1
6.0,5,1
0.0,2,0
0.0,0,0
0.0,3,0
7.0,5,1
0.0,0,0
0.0,0,0
1.0,3,0
0.0,3,0
6.0,1,1
1.0,5,2
1.0,7,2
4.0,0,0
10.0,1,1
1.0,0,0
1.0,5,2
4.0,3,0
1.0,1,0
4.0,0,0
0.0,1,0
0.0,0,0
8.0,2,1
0.0,5,2
0.0,2,0
0.0,7,2
1.0,0,0
2.0,3,0
2.0,1,0
1.0,2,0
0.0,7,2
0.0,5,2
1.0,0,0
0.0,0,0
8.0,0,1
1.0,6,2
11.0,2,1
0.0,0,0
1.0,8,2
0.0,4,2
1.0,7,2
0.0,0,0
3.0,0,0
1.0,5,2
4.0,2,0
1.0,3,0
1.0,4,2
1.0,0,0
0.0,0,0
1.0,5,2
0.0,1,0
2.0,5,2
10.0,6,1
4.0,5,2
7.0,0,1
0.0,5,2
1.0,0,0
5.0,0,0
5.0,5,1
0.0,5,2
0.0,7,2
1.0,3,0
4.0,5,2
0.0,5,2
0.0,2,0
1.0,4,2
1.0,5,2
0.0,3,0
8.0,8,1
12.0,3,1
0.0,1,0
0.0,8,2
1.0,2,0
9.0,0,1
0.0,2,0
1.0,4,2
0.0,0,0
0.0,2,0
1.0,4,2
0.0,0,0
1.0,0,0
0.0,7,2
3.0,0,0
1.0,8,2
1.0,0,0
2.0,2,0
7.0,8,1
9.0,3,1
5.0,7,2
2.0,5,2
0.0,2,0
6.0,3,1
1.0,0,0
5.0,5,1
1.0,0,0
1.0,7,2
1.0,3,0
0.0,7,2
0.0,5,2
1.0,7,2
9.0,4,1
0.0,1,0
1.0,7,2
4.0,0,0
1.0,5,2
3.0,4,2
8.0,0,1
1.0,0,0
1.0,1,0
1.0,0,0
9.0,0,1
3.0,4,2
1.0,2,0
0.0,5,2
6.0,0,1
0.0,4,2
0.0,0,0
0.0,4,2
0.0,8,2
0.0,0,0
8.0,5,1
0.0,0,0
7.0,7,1
6.0,2,1
6.0,0,1
0.0,1,0
1.0,0,0
1.0,0,0
9.0,5,1
1.0,0,0
0.0,0,0
0.0,0,0
1.0,7,2
0.0,3,0
1.0,5,2
1.0,5,2
1.0,7,2
0.0,1,0
0.0,8,2
6.0,0,1
3.0,5,2
0.0,0,0
1.0,0,0
11.0,0,1
2.0,5,2
1.0,1,0
4.0,0,0
0.0,0,0
1.0,3,0
2.0,6,2
4.0,0,0
0.0,0,0
0.0,5,2
1.0,3,0
1.0,0,0
1.0,0,0
1.0,0,0
1.0,2,0
8.0,0,1
1.0,0,0
0.0,4,2
2.0,0,0
7.0,0,1
1.0,7,2
1.0,3,0
3.0,4,2
1.0,8,2
0.0,0,0
7.0,0,1
0.0,3,0
1.0,7,2
1.0,0,0
1.0,3,0
8.0,0,1
11.0,4,1
8.0,1,1
0.0,2,0
8.0,0,1
1.0,3,0
4.0,3,0
1.0,0,0
1.0,0,0
0.0,7,2
1.0,3,0
6.0,1,1
9.0,3,1
8.0,5,1
1.0,5,2
1.0,3,0
5.0,0,0
0.0,7,2
9.0,0,1
1.0,0,0
0.0,0,0
1.0,0,0
0.0,3,0
12.0,1,1
2.0,8,2
1.0,1,0
1.0,5,2
1.0,7,2
0.0,6,2
0.0,3,0
1.0,1,0
1.0,8,2
0.0,0,0
1.0,0,0
9.0,5,1
1.0,4,2
0.0,4,2
9.0,0,1
3.0,5,2
0.0,7,2
0.0,4,2
7.0,0,1
0.0,1,0
1.0,6,2
9.0,5,1
0.0,0,0
1.0,5,2
2.0,2,0
6.0,2,1
0.0,4,2
8.0,0,1
8.0,5,1
1.0,3,0
0.0,0,0
7.0,0,1
5.0,5,1
2.0,3,0
1.0,3,0
0.0,0,0
1.0,7,2
1.0,0,0
0.0,2,0
0.0,3,0
1.0,5,2
1.0,4,2
0.0,0,0
9.0,3,1
1.0,0,0
4.0,8,2
8.0,4,1
0.0,2,0
1.0,1,0
1.0,3,0
8.0,6,1
0.0,1,0
2.0,3,0
0.0,4,2
0.0,0,0
0.0,4,2
6.0,7,1
1.0,2,0
9.0,5,1
0.0,0,0
0.0,5,2
5.0,2,1
0.0,3,0
1.0,2,0
0.0,7,2
1.0,3,0
0.0,0,0
1.0,8,2
0.0,0,0
0.0,2,0
1.0,0,0
7.0,7,1
4.0,0,0
4.0,1,0
9.0,4,1
0.0,1,0
5.0,6,2
1.0,0,0
1.0,5,2
0.0,2,0
6.0,3,1
9.0,6,1
1.0,5,2
5.0,3,1
9.0,2,1
1.0,3,0
2.0,0,0
0.0,5,2
0.0,2,0
1.0,2,0
0.0,0,0
1.0,4,2
6.0,0,1
7.0,0,1
2.0,7,2
6.0,4,1
1.0,0,0
0.0,3,0
2.0,5,2
0.0,1,0
8.0,3,1
1.0,0,0
3.0,0,0
2.0,5,2
2.0,7,2
1.0,1,0
6.0,5,1
6.0,4,1
0.0,8,2
1.0,2,0
6.0,5,1
8.0,6,1
6.0,0,1
12.0,0,1
9.0,0,1
9.0,1,1
10.0,3,1
1.0,5,2
0.0,2,0
8.0,5,1
0.0,1,0
3.0,0,0
0.0,2,0
0.0,0,0
1.0,0,0
1.0,1,0
1.0,4,2
1.0,0,0
0.0,0,0
5.0,3,1
8.0,5,1
0.0,5,2
1.0,2,0
1.0,0,0
0.0,5,2
0.0,4,2
1.0,3,0
0.0,7,2
1.0,5,2
1.0,5,2
1.0,1,0
8.0,1,1
0.0,6,2
1.0,3,0
1.0,7,2
0.0,0,0
0.0,3,0
1.0,0,0
1.0,1,0
1.0,0,0
3.0,0,0
1.0,0,0
4.0,0,0
7.0,0,1
1.0,5,2
1.0,7,2
4.0,1,0
2.0,0,0
5.0,5,1
0.0,0,0
9.0,5,1
2.0,0,0
1.0,4,2
2.0,0,0
1.0,4,2
7.0,3,1
1.0,5,2
0.0,0,0
1.0,0,0
0.0,1,0
13.0,4,1
1.0,0,0
14.0,5,1
0.0,7,2
0.0,8,2
9.0,6,1
1.0,7,2
0.0,0,0
8.0,5,1
2.0,0,0
0.0,2,0
6.0,0,1
1.0,0,0
1.0,7,2
9.0,1,1
4.0,5,2
1.0,0,0
7.0,1,1
1.0,4,2
2.0,5,2
7.0,0,1
4.0,0,0
0.0,3,0
0.0,8,2
8.0,0,1
0.0,5,2
10.0,2,1
1.0,7,2
1.0,5,2
9.0,0,1
0.0,4,2
0.0,5,2
0.0,0,0
1.0,0,0
0.0,0,0
0.0,3,0
0.0,7,2
0.0,2,0
1.0,5,2
5.0,3,1
1.0,4,2
1.0,3,0
0.0,5,2
0.0,5,2
0.0,4,2
1.0,5,2
2.0,5,2
5.0,3,1
8.0,6,1
0.0,5,2
0.0,0,0
0.0,4,2
1.0,5,2
7.0,1,1
9.0,4,1
8.0,1,1
0.0,4,2
0.0,3,0
5.0,0,0
2.0,7,2
8.0,0,1
1.0,2,0
9.0,2,1
1.0,2,0
1.0,0,0
4.0,4,2
0.0,5,2
1.0,0,0
1.0,1,0
3.0,3,0
8.0,7,1
10.0,0,1
1.0,8,2
8.0,0,1
1.0,2,0
0.0,3,0
6.0,5,1
9.0,1,1
0.0,1,0
0.0,0,0
1.0,5,2
1.0,3,0
5.0,0,0
1.0,5,2
0.0,3,0
0.0,2,0
7.0,8,1
6.0,8,2
0.0,2,0
1.0,3,0
0.0,3,0
1.0,5,2
0.0,3,0
1.0,7,2
13.0,7,1
11.0,2,1
0.0,0,0
0.0,1,0
7.0,0,1
0.0,1,0
8.0,0,1
10.0,5,1
1.0,0,0
0.0,4,2
1.0,0,0
4.0,5,2
9.0,0,1
8.0,0,1
1.0,5,2
0.0,0,0
1.0,1,0
14.0,6,1
3.0,1,0
1.0,0,0
4.0,0,0
0.0,7,2
1.0,0,0
0.0,0,0
13.0,0,1
1.0,7,2
8.0,8,1
2.0,0,0
1.0,0,0
0.0,0,0
0.0,1,0
7.0,5,1
1.0,0,0
1.0,2,0
0.0,5,2
0.0,0,0
5.0,2,1
10.0,1,1
1.0,2,0
1.0,2,0
0.0,0,0
0.0,5,2
1.0,7,2
5.0,5,1
1.0,0,0
9.0,6,1
0.0,5,2
0.0,0,0
1.0,0,0
5.0,4,1
0.0,5,2
1.0,2,0
0.0,0,0
4.0,0,0
1.0,2,0
1.0,0,0
12.0,2,1
2.0,1,0
0.0,0,0
5.0,1,1
7.0,0,1
2.0,0,0
1.0,5,2
2.0,0,0
0.0,4,2
0.0,1,0
8.0,6,1
1.0,1,0
0.0,0,0
0.0,0,0
0.0,1,0
1.0,4,2
9.0,1,1
8.0,0,1
5.0,0,0
0.0,4,2
1.0,0,0
1.0,8,2
0.0,2,0
4.0,1,0
0.0,0,0
14.0,0,1
0.0,1,0
0.0,4,2
0.0,5,2
0.0,0,0
8.0,5,1
0.0,0,0
1.0,0,0
7.0,0,1
2.0,0,0
9.0,1,1
0.0,2,0
1.0,0,0
6.0,0,1
0.0,7,2
0.0,1,0
1.0,3,0
0.0,7,2
1.0,4,2
1.0,0,0
2.0,0,0
0.0,0,0
0.0,0,0
1.0,5,2
1.0,5,2
8.0,0,1
1.0,3,0
0.0,1,0
2.0,0,0
9.0,0,1
0.0,5,2
6.0,3,1
1.0,7,2
0.0,1,0
1.0,4,2
0.0,1,0
7.0,2,1
3.0,0,0
0.0,5,2
2.0,0,0
0.0,5,2
1.0,0,0
0.0,3,0
7.0,0,1
9.0,0,1
1.0,5,2
7.0,5,1
4.0,3,0
6.0,0,1
1.0,3,0
0.0,7,2
1.0,0,0
12.0,7,1
0.0,3,0
1.0,3,0
0.0,2,0
0.0,5,2
8.0,0,1
0.0,5,2
1.0,2,0
0.0,0,0
8.0,3,1
1.0,3,0
0.0,2,0
0.0,0,0
1.0,7,2
8.0,8,1
1.0,7,2
0.0,0,0
0.0,0,0
0.0,5,2
0.0,0,0
1.0,0,0
0.0,3,0
1.0,0,0
8.0,3,1
0.0,1,0
8.0,6,1
0.0,0,0
8.0,0,1
7.0,0,1
0.0,5,2
10.0,6,1
3.0,8,2
6.0,0,1
9.0,0,1
1.0,5,2
6.0,5,1
8.0,0,1
9.0,4,1
1.0,4,2
0.0,0,0
0.0,1,0
0.0,0,0
10.0,0,1
1.0,0,0
9.0,8,1
0.0,7,2
8.0,5,1
8.0,8,1
3.0,2,0
1.0,0,0
0.0,1,0
1.0,3,0
1.0,1,0
1.0,6,2
8.0,5,1
1.0,0,0
0.0,3,0
9.0,0,1
8.0,0,1
4.0,1,0
0.0,5,2
5.0,0,0
0.0,0,0
0.0,0,0
0.0,3,0
1.0,0,0
8.0,5,1
0.0,5,2
0.0,1,0
1.0,0,0
7.0,5,1
7.0,5,1
11.0,3,1
1.0,3,0
9.0,0,1
9.0,4,1
0.0,5,2
0.0,0,0
1.0,0,0
8.0,6,1
9.0,7,1
1.0,1,0
0.0,7,2
0.0,2,0
7.0,3,1
1.0,0,0
4.0,2,0
3.0,2,0
0.0,4,2
5.0,2,1
0.0,5,2
9.0,5,1
1.0,3,0
7.0,5,1
8.0,5,1
1.0,3,0
1.0,1,0
1.0,7,2
1.0,0,0
0.0,0,0
0.0,3,0
1.0,7,2
0.0,0,0
1.0,0,0
1.0,0,0
6.0,0,1
0.0,0,0
1.0,7,2
0.0,3,0
0.0,1,0
0.0,1,0
0.0,5,2
0.0,7,2
1.0,1,0
8.0,4,1
4.0,0,0
1.0,7,2
1.0,1,0
0.0,7,2
10.0,1,1
0.0,4,2
3.0,6,2
0.0,7,2
6.0,2,1
10.0,0,1
0.0,3,0
0.0,1,0
3.0,1,0
1.0,2,0
0.0,0,0
7.0,5,1
1.0,0,0
1.0,1,0
1.0,8,2
0.0,5,2
9.0,3,1
9.0,0,1
8.0,5,1
9.0,4,1
1.0,0,0
1.0,0,0
1.0,7,2
0.0,1,0
0.0,4,2
7.0,0,1
1.0,0,0
1.0,0,0
9.0,3,1
5.0,5,1
1.0,5,2
1.0,7,2
0.0,3,0
